x,y,z
-2.4077027,-0.7461478,4.0580206
-3.3539197,-1.1922427,2.6050446
-3.8636365,2.284147,2.742742
-1.5721676,1.0423628,3.9392083
-2.1052904,-1.2397696,3.9055972
-2.69226,-0.8606178,2.6784675
-1.738661,-0.648578,4.333456
-2.6902912,1.3950905,3.3518977
-1.9510063,0.5300397,2.5229144
-1.497913,0.6082306,3.1525953
-2.8867495,1.604668,1.6818676
-2.091242,1.0530685,2.0064576
-2.9036295,0.033606574,3.662516
-4.206417,-0.71747386,0.9998119
-4.4080505,-2.088411,2.6499166
-2.4357376,0.23430568,2.3078854
-3.9119139,-0.63895905,1.2515525
-3.805689,0.010912896,3.5928504
-3.1839345,0.7238645,2.908249
-2.4897974,-0.3900365,2.5902467
-3.20827,0.6869031,3.947998
-3.766895,-0.09639336,3.1094294
-4.1083326,-0.5698567,2.9266093
-1.7129412,1.4065547,1.9515852
-1.6882812,-0.24237138,2.156795
-3.258636,1.5328192,3.8019
-4.8579044,1.1811018,3.7576795
-2.548961,-1.5662469,1.2369592
-3.9456868,-0.96006685,1.9672357
-2.4098659,1.2333808,2.7043796
-3.9202085,0.2636934,3.3003092
-2.2235742,0.6902257,1.5239007
-4.5667973,0.5468944,3.4013233
-0.8095677,1.4026488,3.1331866
-2.8650308,0.40829664,2.2013528
-1.2045294,0.53439724,2.7172801
-3.1646328,1.3323293,3.0211215
-2.1964843,-0.41452977,2.4040174
-2.2775054,1.1119692,3.7486868
-4.1072593,0.30765176,3.1959937
-3.8008783,0.49798205,3.5705676
-3.363596,-0.75643456,3.9462197
-4.0722275,1.1655388,3.2985396
-2.2726824,-0.8892466,1.8153194
-3.194155,0.7164301,2.5122776
-5.510847,-1.4370093,2.2752829
-4.3560038,-0.9393369,1.7731421
-2.2141628,1.0923072,3.6498616
-2.7621639,-0.8110294,2.1719232
-2.7232945,0.16297963,2.119832
-1.6362482,0.31227526,3.827611
-4.8505855,0.43913704,2.1851165
-4.642759,-0.45574197,4.0661225
-2.2017243,-0.13214912,3.1353548
-1.5803466,0.70579404,3.9383543
-3.4370103,-0.75657886,3.1943936
-1.7241588,0.46613428,2.815176
-4.042939,-1.7028558,2.545607
-3.5578144,0.103036,3.7521598
-2.8983762,-0.5464546,3.825203
-4.081012,-0.11675499,5.0372066
-3.7826147,-1.0773064,4.331206
-2.1369498,0.76825,2.9950836
-2.6584902,1.0752753,4.404376
-3.5142543,-0.09490938,3.1734943
-3.7225127,-1.446752,2.3469937
-1.7875857,-0.3815083,2.049491
-2.1758738,-0.07010014,2.308626
-1.3108517,-0.32892537,3.360272
-3.2829893,-0.07196442,2.0250747
-3.9275966,1.8736346,4.5626087
-2.4771574,1.2555252,2.982157
-3.54381,-0.42022952,2.4116077
-1.1165929,-0.46784943,3.7160687
