x,y,z
-1.5498486,-1.1677731,-2.8013995
-1.7913246,-1.2955055,-1.409741
-4.0129886,-2.4011943,-2.3960629
-3.0469508,-2.9023798,-2.6812453
-1.5523944,-2.4085348,-2.6915605
-2.764482,-1.804791,-3.3250427
-1.4303743,-1.9318726,-1.7427642
-2.9715428,-1.7884034,-2.267778
-2.122808,-2.6873705,-2.286858
-2.3740582,-3.006381,-2.2766595
-1.9716904,-1.6179953,-1.7688063
-2.0445845,-1.3816776,-3.1077979
-2.5441215,-1.159642,-2.268814
-2.2715755,0.82017875,-3.9505281
-2.9318995,-2.0562255,-1.0548112
-3.080008,-2.2835584,-2.3151104
-1.3606912,-0.77004373,-2.5984776
-1.9316012,-3.0510974,-2.3556266
-2.1941235,-1.0223757,-1.6565982
-4.0202026,-3.518654,-3.2119746
-2.5366108,-3.1915298,-2.3551612
-3.5748305,0.17685986,-2.4379418
-3.1923175,-1.9971154,-1.7528584
-2.771134,-0.37348843,-0.79732597
0.6136255,-2.0453131,-1.6059453
-2.0043402,-1.0570843,-1.5830374
-2.705915,-3.0342855,-3.2473235
0.69101334,-2.7746131,-2.1464715
-1.4167398,-3.3573642,-0.39915693
-2.475635,-2.7938495,-1.7990292
-1.4462299,-3.870016,-2.0948422
-1.339663,-3.8152227,-2.6271844
-2.4093165,-0.97634053,-0.6533433
-2.15337,-2.510186,-4.1733265
-2.2552812,-3.0968451,-2.7393188
-2.344123,-1.3191022,-1.41559
-1.6857101,-1.5233696,-1.6271563
-1.967662,0.13045692,-1.3165805
-2.97268,0.15457249,-1.7531608
-3.5019312,-1.4823933,-2.558555
-4.0951157,-1.5877547,-2.5921135
-2.4210682,-1.4661475,-1.5868833
-1.845264,-1.5008024,-1.950335
-1.9207605,-3.0617318,-1.9516239
-2.1173108,-1.269366,-2.4793487
-1.6919949,-1.713596,-2.0913918
-3.7365975,-2.8242283,-2.241257
-2.5445907,-3.1335478,-1.1589121
-0.4153328,-2.4732826,-1.7140418
-1.6577108,-2.242471,-2.89009
-1.1919205,-1.9973917,-3.0295963
-1.5068297,-1.4320381,-2.1971622
-2.4226685,-2.9054277,-0.43525743
-1.793957,-1.4396516,-1.2294211
-2.8560915,-1.2474809,-2.568818
-1.4220957,-2.6733556,-2.4518857
-2.7776206,-1.3633114,-1.4601047
-2.3604445,-1.9947817,-2.1989536
-0.62807786,-1.1266739,-2.2813406
-1.8617401,-1.9240514,-3.3875108
0.91380024,-0.49536848,-3.8505893
0.2979281,-3.186524,-1.7821269
-0.6189072,-0.9511062,-1.6768314
-2.5046673,-3.091755,-0.28576756
-0.8860593,-0.7399751,-0.51571655
-2.3976414,-1.168282,-2.83738
-0.87725484,-3.1695151,-2.1215603
-1.1094036,-2.7176065,-2.537671
-2.9249275,-0.09490585,-2.4270363
-2.7945201,-2.6950922,-0.3606907
-2.014068,-1.3326933,-3.6176286
-3.2195532,-2.7033515,-1.9322363
-1.1494336,-2.4728973,-2.5868583
-1.0871072,-2.0983934,-1.0306182
-1.4584401,-2.936645,-4.6476793
-0.7480055,-2.3778176,-2.993998
-1.0877602,-2.2480855,-1.5569046
-1.9567053,-1.513163,-2.2799711
-0.08029497,-1.9329354,-5.0429845
-3.5409045,-3.302608,-2.5559766
-3.9301782,-2.305497,-0.9629004
-1.534173,-2.0377603,-2.6788747
-1.7597514,-1.9672029,-0.6255629
0.6567397,-0.22271347,-2.2883196
-3.6217656,-1.1093948,-3.1510937
-2.2535121,-1.8017726,-1.5713313
-0.5005429,-1.4183002,-1.2373168
-3.6413283,-0.8852546,-2.2039506
-2.701017,-2.8235402,-1.9841485
-2.620926,-1.1948707,-0.002122283
-1.1980386,-1.2817161,-1.6455588
-1.2415043,-2.9891133,-1.1184814
-2.2695742,-1.8154784,-2.1856072
-1.3829255,-1.0612426,-3.3683238
-2.5048106,-2.8663297,-1.5714424
-1.0251198,-3.0562322,-2.0414474
0.10418868,-3.7263222,-2.1820672
-0.8264034,-1.7150617,-0.19576871
-2.2315493,-0.72066545,-1.8326427
-2.7880151,-2.8720908,-1.2262492
-1.091612,-1.0669248,-1.0654368
-2.9984887,-1.8561592,-1.120383
-0.9646543,-2.3871772,-2.2705803
-1.7520454,-3.1866717,-3.0423832
-4.1663723,-4.003834,-3.046373
-1.035634,-0.44707978,-2.6987839
-3.3716116,-1.9075949,-1.0231882
-2.4352024,-2.636081,-1.9628074
-2.8279357,-1.8311707,-2.3064864
-1.9399214,-2.3388135,-2.304602
-0.5718312,-2.2913337,-1.2732322
-1.3920043,-1.9055302,-2.3689508
-2.0271034,-0.72133255,-0.8335148
-3.0981987,-0.31143713,-2.7394602
-1.8287946,-1.6315484,-4.0657454
-2.0701213,-2.924749,-1.7839035
-2.3422923,-1.3982126,-2.187545
-0.69998074,-3.7982278,-0.6678637
-2.4629726,-2.7105699,-2.6807342
-3.636366,-0.93985236,-0.5717429
-1.4169359,-0.9246186,-1.4808886
-0.9654403,-2.1844559,-2.9539895
-2.1931925,-1.3954699,-1.2607152
-2.8592396,-1.7527955,-1.6774814
-3.8592167,-2.1457675,-1.3968155
-2.2739515,-2.7241023,-2.7902524
-3.0442297,-1.8468373,-2.5780406
-2.5327506,-1.5884498,-2.0641613
-0.29830933,-0.08925164,-2.593915
-3.0729108,-3.190513,-1.2709043
-2.5836277,-1.5236588,-1.738045
-4.171376,-1.1768024,-0.39685178
-1.1011038,-2.8253539,-2.3588216
-1.798163,-1.7208596,-2.8906226
-3.025147,-3.0233412,-1.4859235
-2.805616,-5.024758,-0.2830832
-4.5280704,-3.4283745,-2.9943428
-2.3379655,-1.7355132,-2.235128
-0.9145273,-1.3503196,-1.7387438
-2.1447248,-1.7643973,-1.2006724
-2.0798535,-1.3920156,-2.5315323
-2.7594333,-0.532388,-2.4362628
-0.9949814,-2.4629884,-3.47531
-1.7955375,-1.4768597,-2.303407
-1.2848996,-0.054159403,-0.565948
-1.6941533,-0.83540285,-1.6370597
-0.1683271,-2.44352,-2.688744
-4.397212,-2.4319186,-0.9341806
-3.5528407,-3.1990345,-0.64963925
-2.8135118,-2.025211,-2.5664146
-1.3385279,-2.570638,-1.4528086
-2.424674,-2.679685,-1.1862937
-1.6054864,-2.8448246,-3.4034283
-0.4597243,-3.3362007,-1.5542508
-1.1551793,-3.560392,-2.6752393
-1.258246,-1.0854158,-2.4107885
-0.15920556,-1.961247,-2.762859
-1.3354173,-1.3546817,-0.7487929
-0.6707331,-2.3491173,-2.7415433
-3.4913726,-1.2548125,-3.329845
-2.8489983,-2.2513962,-1.8266222
-2.2624059,-4.231003,-1.8789775
-1.8331634,-0.25401783,-1.2604632
-0.55130374,-2.31325,-2.0583568
-1.15062,-1.693259,-2.5300448
-1.571784,-3.9516425,-3.5460215
-1.5974095,-2.402949,-2.126823
-1.5234102,-1.3097954,-0.9603292
-0.20919418,0.5508914,-2.4862776
-1.1876558,-1.589073,-2.1116984
-2.3086867,-2.2625823,-2.41231
-1.3233819,-1.2366188,-3.2046967
-2.227819,-0.2831049,-1.2731401
-2.073556,-2.1292253,-1.4771377
-3.1322935,-1.5283875,-2.0521502
-1.889031,-1.8634926,-1.0689001
-0.03068304,-1.3506879,-1.559269
-1.5743297,-0.22794902,-1.0904834
-2.391397,-2.8753695,-1.8218353
-1.6273043,-2.6579509,-1.8088316
-2.577563,-2.2690477,-3.6077044
-3.3774648,-1.6254966,-3.1668525
-3.271737,-0.92645955,-2.938394
-1.1593332,-0.5231719,-2.094603
-2.073795,-0.57732904,-1.849503
-3.829161,-0.24669433,0.0051608086
-2.558745,-1.2550788,-1.3534306
-3.8773348,-0.3602059,-3.7228436
-1.5906768,-2.9024065,-0.4548887
-2.891931,-1.684215,-0.7241262
-2.2332397,-1.6264241,-3.9240308
-2.566574,-2.4572453,-0.8666791
-3.1781602,-2.6125565,-4.6767435
-2.9918997,-2.4972,-0.7080538
-3.6424344,-1.2069063,-3.8088484
-1.8306429,-1.6179534,-2.911572
-3.6570995,-3.0417304,-1.7508295
-1.826212,-2.4589124,-2.8728585
-0.9059428,-3.7339783,-2.0582817
-1.5890754,-1.0883346,-1.5943528
-2.1432827,-0.88257885,-2.739816
-2.2513313,-1.3602245,-1.2836089
-1.1820282,-2.6727326,-1.4616034
-2.2214196,-1.853831,0.20837212
0.37460756,-2.58796,-2.0328734
-3.4529567,-2.1111586,-2.2108734
-1.8868747,-0.15316975,-2.6032639
-1.6898159,-1.7697556,-1.5785643
-0.3640777,-3.0906618,-3.098764
-2.3251615,-3.2615714,-1.4000745
-1.5946031,-1.0200129,-2.4558415
-0.7236744,-2.5017564,-2.7498064
-1.5255451,-2.1783834,-0.60552
-3.3883257,-1.9770107,-3.1932244
-1.153866,-0.40124273,-1.6613569
-3.2461615,-1.802093,-3.0916052
-3.582975,-1.6612967,-1.8234684
-3.1134496,-1.9127749,-1.0699081
-2.045893,-2.3072891,-2.7831583
-0.689142,-0.8680835,-2.5104225
-3.904451,-0.26610434,-1.7779552
-3.4134288,-3.4498196,-3.8484824
-1.6852365,-1.7693275,-3.5375257
-1.8253272,-2.4399862,-3.5001109
-1.6431174,-0.9330008,-1.9538815
-1.800625,-0.7502481,-1.9043882
-2.086876,-1.665679,-2.4720922
-1.1481998,-3.4853334,0.019301653
-2.1170332,-1.395696,-1.042904
-2.661068,-1.6009321,-1.748177
-1.0650351,-2.4287443,-2.87028
-1.5530986,-1.8890764,-3.229402
-0.109019876,-0.8586316,-2.6405506
-2.63877,-1.999963,-1.8199179
-2.060524,-0.8044847,-1.7653086
-3.6760721,-0.13315403,-2.7140079
-3.0778687,-1.9183156,-1.5434245
-2.2384202,-0.77838695,-1.0030389
-1.717114,-1.1725836,-2.1369808
-1.2170696,-2.4579616,-3.263692
-0.66910887,-3.4311337,-3.1820073
-1.2673452,-0.24957883,-1.4492078
-1.0775712,-1.2076179,-2.4249558
-2.4905372,-2.3286123,-4.2072515
-3.2652986,-2.5531178,-1.3741269
-1.7493571,-2.9852092,-1.3056759
-1.6286635,-1.0157828,-3.401392
-2.9289358,-2.4935377,-1.9621892
-2.6128914,-2.8740308,-2.8192105
-0.7999644,-2.080392,-1.4341066
-5.013816,-0.53337,-1.7130501
-1.8748488,-2.5353029,-1.097034
-2.5024836,-1.4645507,-2.6903424
-0.5950347,-3.9029026,-1.2722117
-2.08272,-2.9643025,0.14470959
-2.1283405,-3.3882203,-1.0445387
-1.834876,-1.5088445,-1.5661675
-2.4492445,-1.3751398,-3.1747026
-2.0831804,-4.565118,-2.0709918
-0.5007819,-1.1823869,-3.067788
-2.667998,-2.3492682,-2.8860984
-3.2569199,-2.0498905,-0.3503766
-0.46308708,-2.7516074,-1.4849128
-1.8225685,-1.2704766,-3.90142
-1.1468496,-1.9102168,-1.7595909
-0.780269,-1.9714705,-3.4136662
-2.1713386,-3.024454,-0.145782
-1.2350514,-2.2386754,-0.99836206
-3.4037642,-1.886724,-2.4417799
-2.8702555,0.21078563,-2.3133683
-1.4448267,-1.781097,-1.5106993
-2.3927379,-2.5233636,-2.0501633
-1.9459298,-2.953276,-0.38784885
-1.7131208,-0.5167444,-0.9913304
-3.1166935,-1.7710081,-0.9142339
-1.4163902,-1.7341444,0.05559683
-0.9540534,-0.5124407,-0.88905513
-1.7976831,-1.4345083,-2.8874743
-1.5885049,-0.01974237,-2.8581748
-3.0892391,-2.6772294,-2.7178109
-1.5077884,-2.4034657,-3.4871554
-1.8168544,-0.15832531,-2.2896547
-1.4845157,-0.7529628,-2.444538
-1.2703187,-1.603948,-2.8906476
-1.695926,-1.9833202,-2.1904726
-1.8836256,-1.7879754,-1.7961195
-1.6517019,-3.1417081,-4.1872163
-1.6167648,-2.2155592,-2.0906544
-2.0500836,-0.7075745,-2.9069128
-1.0144258,-2.7237213,-2.9305024
-2.068461,-1.1948199,-2.61025
-2.923803,-2.6163683,-1.724832
-1.891583,-1.2352815,-3.007879
-1.3524585,-2.8700624,-1.4959226
-2.3605125,-2.5008097,-1.8577936
-0.5012078,-1.4219995,-2.963823
-1.2737391,-3.4238439,-1.4307675
-2.8872364,-1.0361425,-0.4410727
-2.2167115,-3.0508137,-1.8384486
-1.4977332,-3.3936796,-1.0878818
-1.5563759,-1.6217374,-1.8287431
-2.4287663,-2.5684001,-2.0183666
-3.8424792,-1.5994282,-1.5467169
-3.205965,-2.3583174,-0.64634943
-1.9014673,-1.9947859,-1.9898605
-0.17539752,-2.445831,-2.211879
-0.79464805,-3.6108363,-2.9439707
-2.1411495,-1.8619444,-2.2005823
0.06419277,-3.324664,-2.1129482
-3.6304736,-1.3688431,-1.4704386
-1.3915598,-2.170512,-0.9426327
-1.2881825,-0.88209224,-2.2082422
-2.0091045,-2.5353131,-2.8602612
-2.3412392,-1.6911769,-3.098503
-1.9832813,-1.4865434,-1.7842636
-2.5430458,-1.0731696,-0.8667555
-2.6730819,-1.8131416,-2.840274
-1.3828564,-3.5875564,-2.865966
-2.4771833,-0.032705545,-1.6987538
-1.5425481,-0.49954093,-3.2326932
-2.9090824,-1.980514,-1.890249
-2.446993,-1.6427382,-1.1767979
-2.0207908,-1.6463921,-0.45681834
-2.601832,-1.9467672,-0.56134653
-2.654293,-1.3141468,-1.84634
-1.8077172,-1.0685997,-1.5302067
-2.5448165,-1.5247921,-1.190719
-2.623897,-2.735547,0.0560205
-2.5499926,-2.5378375,-2.4180522
-2.1710448,-2.2384436,-1.1626357
-1.6368996,-1.705693,-3.6808627
-2.7934875,-0.68209076,-2.821755
-0.9376458,-3.722703,-2.630603
0.014141321,-2.3424754,-2.3889585
-2.1196804,-1.4838719,-2.0941174
-1.5471314,-2.848885,-1.0131229
-2.75145,-1.5716038,-4.2628827
-1.1726575,-3.132463,-1.6976166
-2.5123663,-2.7204497,-2.046286
-1.899067,-2.0703735,-1.0669134
-2.1832173,-1.873529,-1.1290412
-2.1169176,-0.21586025,-2.9668615
-0.32848608,-1.671653,-1.3042384
-3.5211515,-0.6395215,-1.8214866
-2.3141737,-2.6478245,-2.540132
0.5497608,-2.3607886,-2.4338334
-0.61858964,-2.4078026,-2.2133284
-3.1381588,-2.2296958,-1.7867854
-3.4426284,-3.1445484,-0.45436442
-3.6516695,-0.88755536,-1.7147837
-1.7773086,-1.4219315,-1.5040159
-2.3256154,-1.273521,-2.4082494
-1.3971581,-2.179726,-1.6844046
-0.7180587,-1.6714083,-2.1678634
-0.8955842,-2.2523003,-2.4467177
-2.5447834,-3.2006345,-0.8377209
-1.3439155,-3.0019455,-5.4738493
-0.74352145,-1.6568596,-3.287664
-2.6807833,-1.1586363,-1.1215701
-2.5878093,-1.5665835,-3.3232481
-2.6169176,-0.5703914,-1.9941874
-2.8191655,-2.49623,-3.085487
-2.1336684,-2.0164714,-2.9383163
-3.6421895,-3.714764,-2.4836884
-3.557138,-2.3839695,-2.1852312
-2.4216347,-0.8102304,-2.408141
-0.5881144,-2.4461353,-1.2561932
-1.1142583,-3.5320263,-2.7664065
-1.6061132,-0.5405879,-2.4167309
-1.4722135,-3.6705198,-2.668375
-0.15761745,-2.6466246,-3.30238
-2.2617254,-3.8055964,-2.2483914
-0.36922836,-1.392515,-2.3844225
-0.89956534,-0.7027601,-0.8088449
-1.6009929,-2.6736193,-0.15242302
-0.1542834,-1.8727347,-2.1247559
-1.7068787,-0.95091426,-2.5715573
-1.4218247,-4.5059757,-1.6668185
-0.1616453,-0.8835715,-3.1631
-1.2944859,-2.58891,-1.4352324
-2.9000576,-0.8373306,-3.2865944
-2.3635423,-2.5122008,-3.0799623
-3.0116713,-3.5618243,-2.026352
-2.5992727,-0.9725841,-3.3793867
-2.491033,-2.4700024,-3.6655374
-0.9794607,-0.55982065,-2.3686333
-3.5111814,-0.5338205,-2.6058064
-1.7035067,-2.587379,-1.4613334
-3.6870475,-3.690144,-2.2552812
-1.3452339,-1.9154919,-0.71988785
-1.6071656,-1.9471171,-2.698293
-0.28167963,-0.49940026,-1.7806059
-2.3643105,-1.5871243,-2.0537355
-2.7342825,-2.7253716,-2.1405435
-1.9473814,-1.6171466,-0.57441497
-1.0439761,-2.236776,-2.6634781
-1.557574,-1.8740396,-0.8646413
-3.2465072,-3.0875654,-1.2536688
-0.9545188,-1.5662371,-2.4627814
-1.5638613,-2.4367607,-1.6348131
-2.3651323,-2.692061,-2.255767
-0.73623025,-1.8074712,-1.500092
-4.1218786,-1.9072683,-3.0497212
-1.0050248,-2.5758278,-1.2059983
-3.220933,-3.2438579,-2.3366127
-3.276742,-2.3887572,-1.717562
-3.7171988,-4.2376885,-1.6315728
-0.87115407,-3.4188087,-1.1809103
-1.317308,-2.6076665,-1.7581843
-3.517522,-2.3992536,-0.97147965
-0.897087,-1.6936789,-2.4205947
-2.674873,-3.1685548,-3.548946
-2.0469809,-1.2076392,-2.1248095
-2.1443036,-2.2031925,-1.592121
-1.5419663,-1.6375171,-0.5866687
-3.3222225,-1.047353,-1.3459572
-0.46615207,-1.6564627,-1.2190578
-3.2587686,-1.205235,-0.50481665
-1.787769,-1.1514504,-0.9415952
-2.4068189,-1.1360381,-2.2871578
-1.9274193,-2.2425423,-0.7079992
-2.2258623,-2.1847458,-1.0649035
-3.369749,-4.1657915,-1.897794
-2.369054,-2.007755,-2.8818357
-1.7799634,-2.3744352,-0.6274853
-2.7622116,-0.9294503,-0.6236876
-2.9824443,-1.5914918,-1.666333
-1.3560178,-1.5617265,-1.7985916
-1.5977627,-2.1591687,-3.5673363
-1.4044359,-2.5913446,-2.093291
-2.9115794,-2.552565,-3.1915853
-2.4948294,-1.8189869,-2.4096482
-1.6200423,-3.3814383,-0.7398387
-1.9332123,-2.6553516,-2.949011
-1.689658,-2.5026221,-1.3365405
-1.8448758,-0.15585494,-2.125491
-2.2871907,-1.9556897,-0.3735212
-1.985818,-2.4420865,-2.0965476
