x,t
0.22385247,-1.0690919
0.098370135,1.0533049
-0.26178873,0.9799445
-0.8312184,0.03370361
-0.46389255,0.5550008
-0.02746053,-1.012951
-0.37005687,0.88345677
-0.6675397,-0.16431123
-0.25835901,0.4964088
-0.45738745,0.37926263
0.8577271,-1.3282573
-0.63259965,0.3723704
-0.8127376,-0.4707874
-0.37179267,-0.085176855
-0.6289538,0.6741285
-0.45673537,-0.66714215
-0.281767,-0.7094094
-0.66133225,-0.37315854
-0.430625,-0.5255466
-0.4489349,-0.17741677
0.41314083,1.2484871
-0.012961061,0.9523133
0.14230816,1.0733622
-0.42891517,-0.4355234
0.61201584,1.4014874
1.1203802,1.664677
0.36926714,-1.1522479
2.3793268,-2.0967054
-0.53080046,0.4097435
-0.5366814,-0.6011422
-0.6134522,-0.06412074
-0.49684572,-0.44178218
-0.5780281,0.56947935
0.7516013,1.2964817
-0.22250105,-1.1394141
-0.3812613,-0.16255642
-0.12672764,0.6913974
-0.23776715,0.8032021
-0.07741813,1.1568501
0.32762897,1.0744101
-0.56011325,-0.71876097
-0.6419805,-0.4501987
0.49215254,-1.4212419
-0.3622833,-0.73248327
-0.32602322,-0.85249466
1.0306453,-1.6435921
1.02973,1.6897237
0.5965694,1.4558862
-0.6256226,-0.4591473
0.08159692,1.2195655
-0.47937596,-0.74525934
-0.34171784,0.27831507
-0.7636633,-0.01490877
-0.38035268,-0.0792164
0.7134893,1.5385801
-0.73128027,0.104073435
-1.0025885,0.19033949
0.23171128,0.9743296
-0.3097796,-0.46488518
-0.35525468,0.8480367
-0.57286924,0.028821357
-0.164291,0.8480284
0.9328898,1.4240372
-0.8274345,0.43045792
0.14289601,-1.0728829
-0.67355275,-0.39492887
0.7136959,1.3881773
0.42906833,-1.3338456
-0.3980052,0.18371679
-0.70603895,0.015445049
-0.6107438,0.5898728
0.3375728,1.1989226
-0.81023186,0.6279618
-0.29845577,0.38217053
0.6219218,-1.4270042
-0.40435612,0.787335
-0.7970585,-0.10964699
0.19196075,1.1236863
2.0605159,-2.0213506
-0.55049133,0.49594307
-0.7648505,-0.5232506
-0.54136646,0.36032152
-0.41003025,-0.08478758
-0.71149975,0.5634546
-0.46983653,-0.55277133
-0.4980744,0.16556345
0.8484149,1.5667113
0.1115657,-0.95534027
-0.67247343,-0.19809805
-0.3097548,-0.80838454
-0.3867148,0.19398332
-0.5719389,0.118760936
-0.5027954,0.59940237
-0.45719054,0.3269394
-0.80530685,0.06410921
-0.20657498,-0.69094765
0.72554624,1.327445
-1.0103313,-0.15860686
0.10720394,-1.0307493
5.685536,3.071166
3.5641716,-2.4530218
-0.70146376,-0.5856245
-0.23673628,-0.89325625
-0.6515079,0.336796
0.36084062,1.1458061
0.4252507,-1.1995082
1.3513535,-1.6206071
-0.7329409,0.043318376
1.0094885,-1.6217929
-0.39103758,-0.74904615
-0.5002228,-0.2851435
0.23088871,-1.2195466
0.047229227,-0.93235755
-0.5379222,0.6500965
0.95386666,-1.4712865
-0.03876633,-1.0639062
1.025519,1.4790409
-0.26790658,-0.8609202
-0.6073416,-0.18913008
-0.280123,-0.7678488
-0.25884482,0.7462391
0.98585945,1.4813823
-0.5628955,0.56800944
-0.4265107,0.75685555
0.8824492,1.3943039
-0.8900663,0.1790748
-0.55679786,0.24722172
-0.46270546,-0.26015213
1.8090696,-1.9681048
-0.6050208,0.0886406
-0.9883441,-0.2535843
0.106181115,0.9594119
-0.46956345,0.5312632
-0.74209666,0.19795983
1.1303166,1.5511968
-0.7132877,0.41571602
-0.36466563,0.43266252
-0.5513082,0.33923325
0.10827917,0.99709874
0.22878866,1.2681391
-1.0153753,-0.2538245
-0.02308405,1.0643002
-0.20942381,-0.86539537
1.0447345,1.5615069
0.28636435,-1.18533
0.018971369,0.77183425
-0.5699588,-0.06673981
-0.07320466,-0.8559039
0.854791,1.4938468
0.8070351,1.5195974
-0.23835015,-0.91116923
0.13315447,1.1112449
-0.27333036,0.88662386
-0.22178899,0.64675045
-0.18098064,-0.7378844
0.27506825,-1.1514715
-0.007732972,-1.034467
0.84602183,-1.472193
0.7677557,-1.4484674
-0.66753274,0.97490484
-0.42049304,0.6275111
0.31184143,1.1387932
-0.36237007,0.96472865
-0.8343005,0.6456424
-0.255522,0.84971297
-0.63720584,-0.11464127
0.49557498,1.3074176
3.291046,-2.3713508
-0.9969795,-0.26561356
0.116865225,-0.9080418
-0.41506866,-0.2593376
2.9008272,-2.2918906
-0.494022,0.28044254
-0.41152856,-0.41931495
0.8268683,-1.3917161
-0.267962,-0.6349503
0.0657074,1.0398633
-0.9603135,-0.008101874
-0.52591085,0.50256497
0.65011173,1.3391988
0.25650144,-1.1263489
-0.7720974,-0.076224834
-0.8943608,0.549589
-0.72458446,-0.035886988
-0.029956818,-1.1069934
-0.6374642,-0.095249586
-1.1061502,0.2585453
-1.0260977,-0.06347683
